so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,o3Grade,pm10Value,khaiGrade,pm25Value,sidoName,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,stationName,pm10Grade,o3Value
1,,51,0.003,0.3,,,,21,2,5,전북,,2,통신장애,1,,2026-04-24 16:00,1,0.030,서신동,1,-
1,,75,0.002,0.3,,,2,27,2,14,전북,,1,,1,,2026-04-24 16:00,1,0.009,혁신동,1,0.060
1,,78,0.003,0.2,,,2,22,2,14,전북,,1,,1,,2026-04-24 16:00,1,0.007,여의동,1,0.063
1,,80,0.004,0.2,,,2,31,2,0,전북,,1,,1,,2026-04-24 16:00,1,0.005,효자동,1,0.065
1,,83,0.002,0.1,,,2,36,2,11,전북,,1,,1,,2026-04-24 16:00,1,0.008,신풍동(군산),1,0.069
1,,82,0.005,0.2,,,2,39,2,6,전북,,1,,1,,2026-04-24 16:00,1,0.004,소룡동,2,0.068
1,,81,0.003,0.4,,,2,47,2,5,전북,,1,,1,,2026-04-24 16:00,1,0.010,사정동,1,0.067
1,,82,0.002,0.3,,,2,46,2,18,전북,,1,,1,,2026-04-24 16:00,1,0.011,옥산면,1,0.068
1,,86,0.003,0.2,,,2,43,2,16,전북,,1,,1,,2026-04-24 16:00,1,0.006,비응도동,2,0.073
,통신장애,45,-,-,,,,31,1,17,전북,통신장애,,통신장애,1,통신장애,2026-04-24 16:00,,-,말도,1,-
1,,80,0.003,0.2,,,2,52,2,10,전북,,1,,1,,2026-04-24 16:00,1,0.010,소룡동2,2,0.066
1,,67,0.005,0.3,,,2,41,2,8,충남,,1,,1,,2026-04-24 16:00,1,0.015,성성동,2,0.050
1,,84,0.004,0.1,,,2,25,2,21,충남,,1,,2,,2026-04-24 16:00,1,0.009,성거읍,1,0.071
1,,78,0.004,0.3,,,2,22,2,8,충남,,1,,1,,2026-04-24 16:00,1,0.006,신방동,1,0.063
1,,81,0.004,0.3,,,2,10,2,1,충남,,1,,1,,2026-04-24 16:00,1,0.006,수신면,1,0.067
1,,79,0.001,0.3,,,2,9,2,3,충남,,1,,1,,2026-04-24 16:00,1,0.003,사곡면,1,0.064
1,,59,0.004,0.6,,,2,21,2,6,충남,,1,,1,,2026-04-24 16:00,1,0.008,공주,1,0.040
1,,74,0.004,0.3,,,2,22,2,3,충남,,1,,1,,2026-04-24 16:00,1,0.003,탄천면,1,0.059
1,,87,0.005,0.2,,,2,26,2,8,충남,,1,,1,,2026-04-24 16:00,1,0.006,부여읍,1,0.074
1,,85,0.005,0.4,,,2,42,2,17,충남,,1,,1,,2026-04-24 16:00,1,0.023,독곶리,2,0.072
1,,91,0.005,0.3,,,2,17,2,9,충남,,1,,1,,2026-04-24 16:00,1,0.008,동문동,1,0.079
1,,85,0.008,0.4,,,2,32,2,11,충남,,1,,1,,2026-04-24 16:00,1,0.019,대산리,2,0.072
1,,151,0.007,0.5,,,3,39,3,15,충남,,1,,1,,2026-04-24 16:00,1,0.018,성연면,1,0.110
1,,71,0.007,0.3,,,2,48,2,18,충남,,1,,1,,2026-04-24 16:00,1,0.022,송산면,2,0.054
1,,76,0.004,0.3,,,2,13,2,3,충남,,1,,1,,2026-04-24 16:00,1,0.008,당진시청사,1,0.061
1,,81,0.004,0.2,,,2,23,2,11,충남,,1,,1,,2026-04-24 16:00,1,0.007,합덕읍,1,0.067
1,,73,0.004,0.3,,,2,29,2,11,충남,,2,,1,,2026-04-24 16:00,1,0.044,복운리,2,0.040
1,,79,0.004,0.2,,,2,15,2,8,충남,,1,,1,,2026-04-24 16:00,1,0.004,모종동,1,0.064
1,,77,0.004,0.3,,,2,21,2,9,충남,,1,,1,,2026-04-24 16:00,1,0.004,배방읍,1,0.062
1,,83,0.004,0.3,,,2,13,2,3,충남,,1,,1,,2026-04-24 16:00,1,0.007,도고면,1,0.069
1,,80,0.004,0.3,,,2,25,2,6,충남,,1,,1,,2026-04-24 16:00,1,0.007,둔포면,1,0.065
1,,76,0.006,0.4,,,2,21,2,9,충남,,1,,1,,2026-04-24 16:00,1,0.009,인주면,2,0.061
1,,64,0.004,0.3,,,2,32,2,16,충남,,1,,2,,2026-04-24 16:00,1,0.014,장재리,2,0.032
1,,-,0.004,0.2,,,2,18,,5,충남,,1,,,,2026-04-24 16:00,1,0.005,송악면,,0.066
1,,60,0.004,0.3,,,2,19,2,1,충남,,1,,1,,2026-04-24 16:00,1,0.007,논산,2,0.041
1,,79,0.004,0.3,,,2,15,2,5,충남,,1,,1,,2026-04-24 16:00,1,0.008,연무읍,1,0.064
1,,74,0.004,0.3,,,2,19,2,8,충남,,1,,1,,2026-04-24 16:00,1,0.012,성동면,1,0.058
1,,64,0.004,0.4,,,2,52,2,27,충남,,1,,2,,2026-04-24 16:00,1,0.021,파도리,2,0.035
1,,88,0.006,0.4,,,2,48,2,12,충남,,1,,1,,2026-04-24 16:00,1,0.014,이원면,2,0.076
1,,83,0.000,0.4,,,2,22,2,9,충남,,1,,1,,2026-04-24 16:00,1,0.013,태안읍,2,0.069
,,,,,,,,,,,충남,,,,,,,,,격렬비열도,,
1,,73,0.007,0.5,,,2,36,2,16,충남,,1,,2,,2026-04-24 16:00,1,0.024,원북면,2,0.058
1,,72,0.004,0.3,,,2,30,2,8,충남,,1,,1,,2026-04-24 16:00,1,0.006,예산군,1,0.055
1,,82,0.004,0.3,,,2,25,2,8,충남,,1,,1,,2026-04-24 16:00,1,0.007,삽교읍,1,0.067
,통신장애,-,-,-,통신장애,통신장애,,-,,-,충남,통신장애,,통신장애,,통신장애,2026-04-24 16:00,,-,고덕면(충남),,-
1,,78,0.003,0.4,,,2,28,2,9,충남,,1,,1,,2026-04-24 16:00,1,0.009,대천2동,1,0.063
1,,74,0.002,0.3,,,2,34,2,10,경남,,1,,1,,2026-04-24 16:00,1,0.009,삼진로,2,0.058
1,,71,0.003,0.3,,,2,34,2,13,경남,,1,,1,,2026-04-24 16:00,1,0.012,경화동,2,0.055
1,,82,0.003,0.3,,,2,38,2,11,경남,,1,,1,,2026-04-24 16:00,1,0.011,월영동,1,0.069
1,,74,0.003,0.3,,,2,18,2,9,경남,,1,,1,,2026-04-24 16:00,1,0.008,하동읍,1,0.058
1,,84,0.003,0.2,,,2,24,2,8,경남,,1,,1,,2026-04-24 16:00,1,0.008,금성면,1,0.070
1,,74,0.002,0.1,,,2,19,2,8,경남,,1,,1,,2026-04-24 16:00,1,0.005,동상동,1,0.058
1,,81,0.003,0.1,,,2,20,2,7,경남,,1,,1,,2026-04-24 16:00,1,0.004,삼방동,1,0.067
1,,77,0.003,0.3,,,2,16,2,8,경남,,1,,1,,2026-04-24 16:00,1,0.010,장유동,1,0.062
1,,78,0.003,0.2,,,2,23,2,10,경남,,1,,1,,2026-04-24 16:00,1,0.005,진영읍,1,0.063
1,,76,0.002,0.2,,,2,24,2,7,경남,,1,,1,,2026-04-24 16:00,1,0.012,김해대로,1,0.061
